业务模块,功能模块,功能项,功能类型,KANO类型,功能点,X,Y
基础公共服务,权限管理,角色管理,用户配置,魅力,角色管理,0.394,0.276
基础公共服务,权限管理,部门/用户组管理,用户配置,魅力,部门/用户组管理,0.55,0.429
基础公共服务,权限管理,用户管理,用户配置,基本,用户管理,0.968,0.08
基础公共服务,日志管理,操作日志,售后维护,基本,操作日志,0.781,0.045
基础公共服务,日志管理,联动日志,售后维护,基本,日志查询,0.855,-0.025
基础公共服务,系统工具,系统工具,售后维护,期望,系统工具,0.148,-0.894
基础公共服务,系统配置,监控配置,售后维护,基本,监控配置,0.853,-0.063
基础公共服务,系统配置,在线配置,售后维护,基本,在线配置,0.668,-0.262
基础公共服务,系统配置,集中批量配置,售后维护,基本,集中批量配置,0.62,-0.441
基础公共服务,系统维护,升级,售后维护,基本,升级,0.449,-0.63
基础公共服务,系统维护,备份和还原,售后维护,基本,备份和还原,0.782,-0.312
基础公共服务,系统维护,系统运行记录,售后维护,基本,系统运行记录,0.931,0.126
基础公共服务,系统维护,时间同步,售后维护,基本,时间同步,0.968,0.202
基础公共服务,系统维护,设备调测,售后维护,期望,设备调测,0.501,-0.117
基础公共服务,系统维护,看门狗,售后维护,期望,看门狗,0.41,-0.296
基础公共服务,系统维护,远程维护,售后维护,期望,远程维护,0.417,-0.193
基础公共服务,系统自诊断,系统自恢复,售后维护,基本,系统自恢复,0.43,-0.834
基础公共服务,安全管理,账户密码安全,动环面客,基本,账户密码安全,0.716,-0.089
基础公共服务,安全管理,系统安全,动环面客,基本,系统安全,0.507,-0.539
基础公共服务,系统自监控,系统自监控,动环面客,基本,系统自监控,0.661,-0.229
基础公共服务,多语言,多语言,动环面客,魅力,多语言,0.582,0.512
基础公共服务,系统换肤,登录页配置,用户配置,魅力,登录页配置,0.02,0.106
基础公共服务,系统换肤,系统换肤,用户配置,魅力,系统换肤,0.072,0.145
数据管理,数据采集,实时数据采集,动环面客,基本,实时数据采集,0.912,0.236
数据管理,数据采集,实时曲线,动环面客,期望,实时曲线,0.391,-0.174
数据管理,数据采集,设备接入,工程施工,基本,设备接入,0.745,-0.021
数据管理,数据处理,计算和策略运算,工程施工,基本,计算和策略运算,0.762,-0.208
数据管理,数据处理,历史曲线,动环面客,魅力,历史曲线,0.774,0.702
数据管理,数据处理,数据存储策略,用户配置,基本,数据存储策略,0.674,-0.351
数据管理,数据处理,数据过时清理,售后维护,基本,数据过时清理,0.441,-0.733
数据管理,数据传输,数据缓存/续传,动环面客,基本,数据缓存/续传,0.847,-0.067
数据管理,数据传输,网络方式,动环面客,基本,网络方式,0.538,-0.6
数据管理,数据传输,主动上报,动环面客,基本,主动上报,0.684,-0.222
数据管理,数据发布,标准北向接口,工程施工,基本,标准北向接口,0.777,-0.148
数据管理,数据发布,北向接口定制,工程施工,魅力,北向接口定制,0.18,0.227
联动控制,控制策略,控制策略自定义,工程施工,基本,控制策略自定义,0.425,-0.721
联动控制,控制策略,定时控制,工程施工,基本,定时控制,0.681,-0.273
联动控制,远程控制,远程控制,售后维护,魅力,远程控制,0.742,-0.193
告警管理,告警生命周期,告警过滤,动环面客,期望,告警过滤,0.778,0.421
告警管理,告警生命周期,告警生成和恢复,动环面客,基本,告警生成和恢复,0.58,-0.463
告警管理,告警生命周期,告警分级,动环面客,期望,告警分级,0.342,-0.186
告警管理,告警生命周期,告警配置,用户配置,期望,告警配置,0.358,-0.304
告警管理,告警生命周期,告警查询,动环面客,期望,告警分类,0.492,-0.075
告警管理,告警生命周期,告警屏蔽,用户配置,期望,告警屏蔽,0.662,0.134
告警管理,告警生命周期,告警受理,动环面客,基本,告警受理,0.43,-0.761
告警管理,告警生命周期,告警确认,动环面客,基本,告警确认,0.501,-0.515
告警管理,告警告知策略,告警/事件发送策略,用户配置,魅力,告警/事件发送策略,0.268,0.199
告警管理,告警告知策略,APP查询,动环面客,魅力,APP查询,0.766,0.657
告警管理,告警告知策略,定时报平安,动环面客,魅力,定时报平安,0.177,0.323
告警管理,告警告知策略,信息模板,用户配置,魅力,信息模板,0.387,0.27
告警管理,告警告知策略,风暴预警,动环面客,魅力,风暴预警,0.227,0.249
告警管理,告警告知方式,短信告警,动环面客,基本,短信告警,0.695,-0.545
告警管理,告警告知方式,电话语音告警,动环面客,基本,电话语音告警,0.947,0.121
